block_id	chrom	start_pos	end_pos	number_of_mutations	number_of_patients	mutation_distribution	region_names
block_1434_3_13663579_13664040	3	13663554	13664064	2	2	1,1	chr3:mr5412:hypo:D
block_6682_5_58770993_58771071	5	58770968	58771095	2	2	1,1	chr5:mr18461:hypo:D
block_7670_17_77914111_77914210	17	77914086	77914234	2	2	1,1	chr17:mr40181:hypo:D
block_2000_4_24450358_24450741	4	24450333	24450765	2	2	1,1	chr4:mr9157:hypo:D
block_5816_13_109338900_109339023	13	109338875	109339047	2	2	1,1	chr13:mr28288:hyper:D
block_9692_2_167026603_167026803	2	167026578	167026827	2	2	1,1	chr2:mr62431:hypo:D
block_3828_8_125239289_125239388	8	125239264	125239412	2	2	1,1	chr8:mr44173:hypo:D
block_1001_18_60873246_60873498	18	60873221	60873522	5	2	4,1	chr18:mr22186:mix:D
block_4208_10_76332584_76332650	10	76332559	76332674	2	2	1,1	chr10:mr31276:mix:U
block_313_14_106071165_106071221	14	106071140	106071245	4	2	3,1	chr14:mr34292:hypo:D
block_7323_20_62071086_62071140	20	62071061	62071164	2	2	1,1	chr20:mr29240:mix:U
block_715_16_85674287_85674679	16	85674262	85674703	2	2	1,1	chr16:mr37352:hypo:D
block_8061_6_120136403_120136458	6	120136378	120136482	2	2	1,1	chr6:mr39509:mix:U
block_6787_5_117718870_117718908	5	117718845	117718932	2	2	1,1	chr5:mr34935:hypo:D
block_4016_10_10473944_10474036	10	10473919	10474060	2	2	1,1	chr10:mr5096:mix:U
block_5569_13_23511336_23511546	13	23511311	23511570	3	2	2,1	chr13:mr2187:hypo:D
block_4590_9_37371555_37371568	9	37371530	37371592	3	2	2,1	chr9:mr12012:hyper:D
block_8053_6_114350264_114350296	6	114350239	114350320	2	2	1,1	chr6:mr38207:mix:U
block_6264_19_32296164_32296365	19	32296139	32296389	2	2	1,1	chr19:mr14187:mix:U
block_7074_20_10810330_10810448	20	10810305	10810472	2	2	1,1	chr20:mr4872:hypo:D
block_1246_15_71156671_71156706	15	71156646	71156730	2	2	1,1	chr15:mr23432:mix:U
block_4045_10_20736574_20736602	10	20736549	20736626	2	2	1,1	chr10:mr10284:hypo:D
block_6800_5_124080507_124080511	5	124080482	124080535	2	2	1,1	chr5:mr36542:mix:D
block_639_16_78681435_78681650	16	78681410	78681674	2	2	1,1	chr16:mr33701:mix:U
block_8640_1_117166768_117166870	1	117166743	117166894	2	2	1,1	chr1:mr49697:mix:U
block_7756_X_151713086_151713157	X	151713061	151713181	2	2	1,1	chrX:mr15578:hypo:D
block_652_16_78770125_78770258	16	78770100	78770282	2	2	1,1	chr16:mr33760:mix:U
block_4993_7_5569109_5569230	7	5569084	5569254	2	2	1,1	chr7:mr2432:mix:U
block_702_16_84921558_84921709	16	84921533	84921733	2	2	1,1	chr16:mr37092:hypo:D
block_647_16_78716853_78716881	16	78716828	78716905	2	2	1,1	chr16:mr33727:mix:U
block_1848_3_194049462_194049492	3	194049437	194049516	2	2	1,1	chr3:mr62818:hypo:D
block_6828_5_135037163_135037338	5	135037138	135037362	2	2	1,1	chr5:mr40807:mix:U
block_5927_22_29195775_29196242	22	29195750	29196266	7	2	6,1	chr22:mr6636:mix:U
block_643_16_78695792_78696187	16	78695767	78696211	2	2	1,1	chr16:mr33712:mix:U
block_4594_9_37407017_37407052	9	37406992	37407076	3	2	2,1	chr9:mr12037:hyper:D
block_6155_19_10352756_10353214	19	10352731	10353238	3	2	1,2	chr19:mr4612:mix:D
block_2442_4_189453985_189454107	4	189453960	189454131	2	2	1,1	chr4:mr54055:mix:U
block_8015_6_91005497_91005874	6	91005472	91005898	2	2	1,1	chr6:mr32608:hypo:D
block_9339_2_42380927_42381037	2	42380902	42381061	2	2	1,1	chr2:mr18665:mix:U
block_319_14_106208649_106208869	14	106208624	106208893	2	2	1,1	chr14:mr34358:hypo:D
block_5885_22_22385538_22385658	22	22385513	22385682	2	2	1,1	chr22:mr3016:hyper:D
block_6278_19_34207335_34207589	19	34207310	34207613	2	2	1,1	chr19:mr15282:hypo:D
block_6858_5_142091194_142091246	5	142091169	142091270	2	2	1,1	chr5:mr44375:mix:U
block_2852_11_125274404_125274627	11	125274379	125274651	2	2	1,1	chr11:mr45501:hypo:D
block_3130_12_69769739_69770094	12	69769714	69770118	2	2	1,1	chr12:mr26143:mix:U
block_5892_22_23523745_23524397	22	23523720	23524421	5	2	4,1	chr22:mr3355:mix:U
block_2573_11_36003213_36003659	11	36003188	36003683	2	2	1,1	chr11:mr12788:hypo:D
block_996_18_60805228_60805348	18	60805203	60805372	3	2	1,2	chr18:mr22145:mix:U
block_3311_12_124833398_124833398	12	124833373	124833422	1	1	1	chr12:mr47597:mix:U
block_3302_12_122463085_122463085	12	122463060	122463109	1	1	1	chr12:mr46133:hyper:D
block_3312_12_124901834_124901834	12	124901809	124901858	1	1	1	chr12:mr47614:mix:U
block_3284_12_120542373_120542373	12	120542348	120542397	1	1	1	chr12:mr44901:mix:U
block_3303_12_122463800_122463800	12	122463775	122463824	1	1	1	chr12:mr46133:hyper:D
block_3304_12_122489651_122489656	12	122489626	122489680	2	1	2	chr12:mr46148:mix:U
block_3305_12_122675946_122675946	12	122675921	122675970	1	1	1	chr12:mr46225:mix:U
block_3306_12_124217702_124217702	12	124217677	124217726	1	1	1	chr12:mr47240:mix:U
block_3373_12_132686140_132686140	12	132686115	132686164	1	1	1	chr12:mr51689:mix:U
block_3384_8_273111_273111	8	273086	273135	1	1	1	chr8:mr98:hypo:D
block_3375_12_132848662_132848662	12	132848637	132848686	1	1	1	chr12:mr51706:mix:U
block_3307_12_124568041_124568041	12	124568016	124568065	1	1	1	chr12:mr47451:mix:U
block_3309_12_124680535_124680535	12	124680510	124680559	1	1	1	chr12:mr47517:hypo:D
block_3374_12_132687578_132687578	12	132687553	132687602	1	1	1	chr12:mr51689:mix:U
block_3308_12_124677342_124677342	12	124677317	124677366	1	1	1	chr12:mr47516:mix:U
block_3372_12_132474675_132474675	12	132474650	132474699	1	1	1	chr12:mr51593:mix:U
block_3310_12_124801528_124801528	12	124801503	124801552	1	1	1	chr12:mr47587:mix:U
block_3298_12_122448466_122448466	12	122448441	122448490	1	1	1	chr12:mr46125:mix:D
block_3376_12_132922102_132922102	12	132922077	132922126	1	1	1	chr12:mr51728:mix:U
block_3313_12_125105577_125105577	12	125105552	125105601	1	1	1	chr12:mr47698:hypo:D
block_3382_8_233741_233741	8	233716	233765	1	1	1	chr8:mr73:hypo:D
block_3288_12_121289379_121289379	12	121289354	121289403	1	1	1	chr12:mr45384:hyper:D
block_3380_12_133309200_133309200	12	133309175	133309224	1	1	1	chr12:mr51857:mix:U
block_3379_12_133179427_133179427	12	133179402	133179451	1	1	1	chr12:mr51802:mix:U
block_3289_12_121426657_121426657	12	121426632	121426681	1	1	1	chr12:mr45472:mix:U
block_3290_12_121792101_121792101	12	121792076	121792125	1	1	1	chr12:mr45715:mix:U
block_3291_12_121937569_121937569	12	121937544	121937593	1	1	1	chr12:mr45820:hypo:D
block_3287_12_121163724_121163724	12	121163699	121163748	1	1	1	chr12:mr45310:hypo:D
block_3292_12_121987809_121987809	12	121987784	121987833	1	1	1	chr12:mr45847:mix:U
block_3378_12_132971950_132971950	12	132971925	132971974	1	1	1	chr12:mr51747:mix:U
block_3377_12_132970120_132970120	12	132970095	132970144	1	1	1	chr12:mr51746:hyper:D
block_3293_12_122116853_122116853	12	122116828	122116877	1	1	1	chr12:mr45922:mix:U
block_3294_12_122137923_122137923	12	122137898	122137947	1	1	1	chr12:mr45939:mix:U
block_3295_12_122140078_122140078	12	122140053	122140102	1	1	1	chr12:mr45941:hypo:D
block_3286_12_121035606_121035606	12	121035581	121035630	1	1	1	chr12:mr45224:mix:U
block_3383_8_257130_257130	8	257105	257154	1	1	1	chr8:mr91:mix:U
block_3296_12_122155756_122155756	12	122155731	122155780	1	1	1	chr12:mr45954:mix:U
block_3297_12_122430021_122430021	12	122429996	122430045	1	1	1	chr12:mr46117:hyper:D
block_3285_12_120924093_120924093	12	120924068	120924117	1	1	1	chr12:mr45147:hyper:D
block_3381_8_225864_225864	8	225839	225888	1	1	1	chr8:mr65:hypo:D
block_3354_12_130553726_130553726	12	130553701	130553750	1	1	1	chr12:mr50592:hypo:D
block_3320_12_125715863_125715863	12	125715838	125715887	1	1	1	chr12:mr48028:hypo:D
block_3314_12_125138872_125138872	12	125138847	125138896	1	1	1	chr12:mr47717:mix:U
block_3367_12_131852710_131852710	12	131852685	131852734	1	1	1	chr12:mr51293:mix:U
block_3365_12_131702253_131702253	12	131702228	131702277	1	1	1	chr12:mr51216:hyper:D
block_3339_12_128428361_128428361	12	128428336	128428385	1	1	1	chr12:mr49364:hypo:D
block_3364_12_131609500_131609500	12	131609475	131609524	1	1	1	chr12:mr51177:hypo:D
block_3340_12_128508808_128508808	12	128508783	128508832	1	1	1	chr12:mr49407:hypo:D
block_3341_12_128542623_128542623	12	128542598	128542647	1	1	1	chr12:mr49430:hypo:D
block_3342_12_128803747_128803747	12	128803722	128803771	1	1	1	chr12:mr49577:mix:U
block_3363_12_131606526_131606526	12	131606501	131606550	1	1	1	chr12:mr51175:mix:U
block_3343_12_128827404_128827404	12	128827379	128827428	1	1	1	chr12:mr49590:mix:U
block_3362_12_131524182_131524182	12	131524157	131524206	1	1	1	chr12:mr51138:hypo:D
block_3361_12_131346526_131346526	12	131346501	131346550	1	1	1	chr12:mr51043:mix:U
block_3360_12_131214280_131214280	12	131214255	131214304	1	1	1	chr12:mr50956:mix:U
block_3344_12_128841185_128841244	12	128841160	128841268	2	1	2	chr12:mr49595:hypo:D
block_3359_12_131170197_131170197	12	131170172	131170221	1	1	1	chr12:mr50938:hypo:D
block_3345_12_128886126_128886126	12	128886101	128886150	1	1	1	chr12:mr49627:mix:U
block_3346_12_129275959_129275959	12	129275934	129275983	1	1	1	chr12:mr49867:hyper:D
block_3347_12_129667730_129667730	12	129667705	129667754	1	1	1	chr12:mr50093:hypo:D
block_3348_12_129924246_129924246	12	129924221	129924270	1	1	1	chr12:mr50234:hypo:D
block_3349_12_129961134_129961134	12	129961109	129961158	1	1	1	chr12:mr50257:hypo:D
block_3350_12_130200634_130200634	12	130200609	130200658	1	1	1	chr12:mr50397:hypo:D
block_3351_12_130246055_130246055	12	130246030	130246079	1	1	1	chr12:mr50423:mix:U
block_3352_12_130298816_130298816	12	130298791	130298840	1	1	1	chr12:mr50456:hypo:D
block_3353_12_130374337_130374337	12	130374312	130374361	1	1	1	chr12:mr50494:mix:U
block_3358_12_131154972_131154972	12	131154947	131154996	1	1	1	chr12:mr50932:hypo:D
block_3357_12_131129681_131129681	12	131129656	131129705	1	1	1	chr12:mr50919:mix:U
block_3356_12_130909140_130909140	12	130909115	130909164	1	1	1	chr12:mr50804:hypo:D
block_3366_12_131720412_131720412	12	131720387	131720436	1	1	1	chr12:mr51223:mix:U
block_3338_12_128291506_128291506	12	128291481	128291530	1	1	1	chr12:mr49301:mix:U
block_3315_12_125193642_125193642	12	125193617	125193666	1	1	1	chr12:mr47745:hypo:D
block_3368_12_131862609_131862609	12	131862584	131862633	1	1	1	chr12:mr51298:hypo:D
block_3316_12_125236595_125236595	12	125236570	125236619	1	1	1	chr12:mr47765:hypo:D
block_3317_12_125492119_125492119	12	125492094	125492143	1	1	1	chr12:mr47891:mix:U
block_3318_12_125623647_125623647	12	125623622	125623671	1	1	1	chr12:mr47965:hypo:D
block_3371_12_132306559_132306559	12	132306534	132306583	1	1	1	chr12:mr51522:mix:D
block_3319_12_125694330_125694330	12	125694305	125694354	1	1	1	chr12:mr48015:hypo:D
block_3355_12_130683340_130683340	12	130683315	130683364	1	1	1	chr12:mr50667:hypo:D
block_3321_12_125801899_125801899	12	125801874	125801923	1	1	1	chr12:mr48079:hypo:D
block_3322_12_125877499_125877499	12	125877474	125877523	1	1	1	chr12:mr48123:mix:U
block_3323_12_125988158_125988158	12	125988133	125988182	1	1	1	chr12:mr48190:hypo:D
block_3370_12_132071940_132071940	12	132071915	132071964	1	1	1	chr12:mr51392:mix:U
block_3324_12_127044786_127044786	12	127044761	127044810	1	1	1	chr12:mr48673:mix:U
block_3325_12_127083626_127083626	12	127083601	127083650	1	1	1	chr12:mr48689:mix:U
block_3326_12_127395357_127395357	12	127395332	127395381	1	1	1	chr12:mr48829:mix:U
block_3327_12_127420236_127420236	12	127420211	127420260	1	1	1	chr12:mr48842:hypo:D
block_3328_12_127540023_127540023	12	127539998	127540047	1	1	1	chr12:mr48898:hypo:D
block_3329_12_127632245_127632245	12	127632220	127632269	1	1	1	chr12:mr48937:mix:U
block_3330_12_127705496_127705496	12	127705471	127705520	1	1	1	chr12:mr48967:hypo:D
block_3331_12_127715415_127715415	12	127715390	127715439	1	1	1	chr12:mr48972:hypo:D
block_3332_12_127751740_127751740	12	127751715	127751764	1	1	1	chr12:mr48988:hypo:D
block_3333_12_127967816_127967816	12	127967791	127967840	1	1	1	chr12:mr49113:mix:U
block_3334_12_127972043_127972043	12	127972018	127972067	1	1	1	chr12:mr49116:hypo:D
block_3369_12_131929140_131929140	12	131929115	131929164	1	1	1	chr12:mr51328:hypo:D
block_3335_12_127984246_127984246	12	127984221	127984270	1	1	1	chr12:mr49124:mix:U
block_3336_12_128024290_128024290	12	128024265	128024314	1	1	1	chr12:mr49144:mix:U
block_3337_12_128159652_128159652	12	128159627	128159676	1	1	1	chr12:mr49225:hypo:D
block_9961_2_242999969_242999969	2	242999944	242999993	1	1	1	chr2:mr90516:hypo:D
block_3263_12_115233336_115233336	12	115233311	115233360	1	1	1	chr12:mr41946:mix:U
block_3283_12_120522780_120522780	12	120522755	120522804	1	1	1	chr12:mr44893:hypo:D
block_3177_12_92214717_92214717	12	92214692	92214741	1	1	1	chr12:mr30837:hypo:D
block_3184_12_94543849_94543849	12	94543824	94543873	1	1	1	chr12:mr31828:hyper:D
block_3183_12_94498462_94498462	12	94498437	94498486	1	1	1	chr12:mr31803:hypo:D
block_3182_12_94231333_94231333	12	94231308	94231357	1	1	1	chr12:mr31690:mix:U
block_3181_12_94207496_94207496	12	94207471	94207520	1	1	1	chr12:mr31676:hypo:D
block_3180_12_93830673_93830673	12	93830648	93830697	1	1	1	chr12:mr31504:hyper:D
block_3179_12_93708378_93708378	12	93708353	93708402	1	1	1	chr12:mr31424:mix:U
block_3178_12_93415510_93415510	12	93415485	93415534	1	1	1	chr12:mr31284:mix:U
block_3176_12_91298915_91298915	12	91298890	91298939	1	1	1	chr12:mr30689:mix:U
block_3167_12_84989538_84989538	12	84989513	84989562	1	1	1	chr12:mr29553:mix:U
block_3175_12_89787078_89787078	12	89787053	89787102	1	1	1	chr12:mr30349:mix:U
block_3174_12_89740898_89740898	12	89740873	89740922	1	1	1	chr12:mr30324:hyper:D
block_3173_12_89155820_89155820	12	89155795	89155844	1	1	1	chr12:mr30191:hypo:D
block_3172_12_89150292_89150292	12	89150267	89150316	1	1	1	chr12:mr30189:hypo:D
block_3171_12_88959206_88959206	12	88959181	88959230	1	1	1	chr12:mr30158:mix:U
block_3170_12_86758804_86758804	12	86758779	86758828	1	1	1	chr12:mr29834:mix:U
block_3169_12_86690611_86690611	12	86690586	86690635	1	1	1	chr12:mr29821:mix:U
block_3185_12_94566860_94566860	12	94566835	94566884	1	1	1	chr12:mr31841:hyper:D
block_3186_12_94589375_94589375	12	94589350	94589399	1	1	1	chr12:mr31851:mix:U
block_3187_12_94684314_94684314	12	94684289	94684338	1	1	1	chr12:mr31909:hypo:D
block_3188_12_95064824_95064824	12	95064799	95064848	1	1	1	chr12:mr32086:mix:U
block_3203_12_100890378_100890378	12	100890353	100890402	1	1	1	chr12:mr34536:mix:U
block_3202_12_100884797_100884797	12	100884772	100884821	1	1	1	chr12:mr34534:hypo:D
block_3201_12_100772937_100772937	12	100772912	100772961	1	1	1	chr12:mr34486:mix:U
block_3200_12_100114162_100114162	12	100114137	100114186	1	1	1	chr12:mr34232:hypo:D
block_3199_12_98816124_98816124	12	98816099	98816148	1	1	1	chr12:mr33738:hypo:D
block_3198_12_98463753_98463753	12	98463728	98463777	1	1	1	chr12:mr33600:hypo:D
block_3197_12_97554089_97554089	12	97554064	97554113	1	1	1	chr12:mr33339:mix:U
block_3196_12_96763601_96763601	12	96763576	96763625	1	1	1	chr12:mr33061:mix:U
block_3195_12_96622708_96622708	12	96622683	96622732	1	1	1	chr12:mr33002:mix:U
block_3194_12_96437203_96437203	12	96437178	96437227	1	1	1	chr12:mr32878:mix:U
block_3193_12_96201871_96201871	12	96201846	96201895	1	1	1	chr12:mr32783:hypo:D
block_3192_12_96006495_96006495	12	96006470	96006519	1	1	1	chr12:mr32677:hypo:D
block_3191_12_96005529_96005529	12	96005504	96005553	1	1	1	chr12:mr32676:mix:U
block_3190_12_95960018_95960018	12	95959993	95960042	1	1	1	chr12:mr32645:mix:U
block_3189_12_95716378_95716378	12	95716353	95716402	1	1	1	chr12:mr32479:mix:U
block_3168_12_86137153_86137153	12	86137128	86137177	1	1	1	chr12:mr29717:mix:U
block_3166_12_84698769_84698769	12	84698744	84698793	1	1	1	chr12:mr29513:mix:U
block_3205_12_101351859_101351859	12	101351834	101351883	1	1	1	chr12:mr34681:mix:U
block_3138_12_75601469_75601469	12	75601444	75601493	1	1	1	chr12:mr27490:hyper:D
block_3145_12_77848796_77848796	12	77848771	77848820	1	1	1	chr12:mr28234:hypo:D
block_3144_12_77776393_77776393	12	77776368	77776417	1	1	1	chr12:mr28217:hypo:D
block_3143_12_77712064_77712064	12	77712039	77712088	1	1	1	chr12:mr28202:mix:U
block_3142_12_77602920_77602920	12	77602895	77602944	1	1	1	chr12:mr28173:hypo:D
block_3141_12_77285647_77285647	12	77285622	77285671	1	1	1	chr12:mr28072:mix:U
block_3140_12_77156061_77156061	12	77156036	77156085	1	1	1	chr12:mr28026:hypo:D
block_3139_12_77141835_77141835	12	77141810	77141859	1	1	1	chr12:mr28019:mix:U
block_3137_12_74862306_74862306	12	74862281	74862330	1	1	1	chr12:mr27391:mix:U
block_3165_12_84548320_84548320	12	84548295	84548344	1	1	1	chr12:mr29497:mix:U
block_3136_12_74432371_74432371	12	74432346	74432395	1	1	1	chr12:mr27311:mix:U
block_3135_12_73380035_73380035	12	73380010	73380059	1	1	1	chr12:mr27174:mix:U
block_3134_12_72957876_72957876	12	72957851	72957900	1	1	1	chr12:mr27106:mix:U
block_3133_12_72626115_72626115	12	72626090	72626139	1	1	1	chr12:mr27054:hypo:D
block_3132_12_72119322_72119322	12	72119297	72119346	1	1	1	chr12:mr26893:mix:U
block_3131_12_71234239_71234239	12	71234214	71234263	1	1	1	chr12:mr26670:hypo:D
block_3129_12_69576044_69576044	12	69576019	69576068	1	1	1	chr12:mr26073:mix:U
block_3146_12_77958228_77958228	12	77958203	77958252	1	1	1	chr12:mr28257:mix:U
block_3147_12_77979597_77979597	12	77979572	77979621	1	1	1	chr12:mr28259:mix:U
block_3148_12_78080087_78080087	12	78080062	78080111	1	1	1	chr12:mr28273:mix:U
block_3149_12_78172256_78172256	12	78172231	78172280	1	1	1	chr12:mr28285:mix:U
block_3164_12_84146708_84146745	12	84146683	84146769	2	1	2	chr12:mr29443:hypo:D
block_3163_12_84070796_84070796	12	84070771	84070820	1	1	1	chr12:mr29428:mix:U
block_3162_12_83332401_83332401	12	83332376	83332425	1	1	1	chr12:mr29299:hypo:D
block_3161_12_82463217_82463217	12	82463192	82463241	1	1	1	chr12:mr29098:hypo:D
block_3160_12_81471411_81471411	12	81471386	81471435	1	1	1	chr12:mr28960:hyper:D
block_3159_12_80550336_80550336	12	80550311	80550360	1	1	1	chr12:mr28779:hypo:D
block_3158_12_80547015_80547015	12	80546990	80547039	1	1	1	chr12:mr28777:mix:U
block_3157_12_80367513_80367513	12	80367488	80367537	1	1	1	chr12:mr28737:hypo:D
block_3156_12_79955771_79955771	12	79955746	79955795	1	1	1	chr12:mr28606:hyper:D
block_3155_12_79738110_79738110	12	79738085	79738134	1	1	1	chr12:mr28534:hypo:D
block_3154_12_79702075_79702075	12	79702050	79702099	1	1	1	chr12:mr28520:mix:U
block_3153_12_79005806_79005806	12	79005781	79005830	1	1	1	chr12:mr28419:mix:U
block_3152_12_78913306_78913306	12	78913281	78913330	1	1	1	chr12:mr28405:hypo:D
block_3151_12_78877327_78877327	12	78877302	78877351	1	1	1	chr12:mr28399:hypo:D
block_3150_12_78734178_78734178	12	78734153	78734202	1	1	1	chr12:mr28381:hypo:D
block_3204_12_101188279_101188279	12	101188254	101188303	1	1	1	chr12:mr34642:hypo:D
block_3206_12_101927444_101927444	12	101927419	101927468	1	1	1	chr12:mr34928:hypo:D
block_3282_12_120496193_120496193	12	120496168	120496217	1	1	1	chr12:mr44876:mix:U
block_3255_12_114194806_114194806	12	114194781	114194830	1	1	1	chr12:mr41365:mix:U
block_3262_12_115059323_115059323	12	115059298	115059347	1	1	1	chr12:mr41831:hypo:D
block_3261_12_115052386_115052386	12	115052361	115052410	1	1	1	chr12:mr41826:hypo:D
